Industry,Percentage of establishments ,Standard error of the percentage of establishments ,Number of establishments ,Standard error of the number of establishments ,Percentage of employment In establishments ,Standard error of the percentage of employment In establishments ,Employment in establishments ,Standard error of the employment in establishments 
Total Private Employment Percentages,18.74,0.25,1584019,20908,20.51,0.36,25894712,451192
"Agriculture, Forestry, Fishing and Hunting",2.54,1.8,2658,1887,1.58,3.51,20196,44933
"Mining, Quarrying, and Oil and Gas Extraction",2.72,1.1,832,336,3.6,3.63,24298,24482
Utilities,4.77,1.71,877,315,3.8,1.38,20861,7567
Construction,11.87,0.36,92665,2820,11.4,0.68,855760,51038
Manufacturing,13.58,0.35,46710,1205,10.07,0.53,1293935,68498
Wholesale Trade,8.23,0.74,47875,4285,8.01,1.45,474586,85810
Retail Trade,25.2,0.52,256338,5265,23.79,1.3,3745319,205173
Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),13.73,2.99,15455,3362,10.76,2.04,380250,72195
Scheduled Air Transportation,4.59,2.09,110,50,0.75,3.22,3433,14827
Truck Transportation,3.66,0.99,4855,1311,3.96,1.85,60795,28467
Information,14.32,1.99,25007,3473,29.36,3.29,845205,94636
Finance and Insurance,6.96,0.82,33556,3977,8.26,1.63,500625,98712
Real Estate and Rental and Leasing ,14.44,1.31,58113,5287,16.72,1.61,387256,37221
Professional and Technical Services,11.85,0.57,141413,6763,20.32,1.66,1953322,159803
Management of Companies and Enterprises,15,1.8,10044,1202,19.21,2.58,465934,62642
Administrative and Waste Services,12.15,1,64472,5324,14.73,2.05,1382370,192671
Educational Services,40.19,2.72,49081,3325,41.42,2.5,1229863,74108
Health Care,26.54,0.52,185162,3618,16.32,0.88,2652964,142976
Social Assistance,25.73,5.68,54551,12038,24.62,1.7,833684,57606
"Arts, Entertainment, and Recreation",47.86,2.53,70614,3725,65.73,2.45,1604339,59916
Accommodation and Food Services,36.16,0.53,256531,3764,40.34,0.86,5724037,122061
"Other Services, Except Public Administration",28.31,1.02,167097,6033,33.42,1.38,1435679,59080
