,Industries,Percentage of businesses,Standard error of the percentage of  businesses ,Number of  businesses ,Standard error of the number of  businesses ,Percentage of employment In  businesses ,Standard error of the percentage of employment In  businesses ,Employment in  businesses ,Standard error of the employment in  businesses 
0,"Total U.S., private sector 10",55.58,0.28,"4,698,654","23,514",56.91,0.42,"71,860,832","525,649"
1,"Agriculture, Forestry, Fishing and Hunting",48.14,4.62,"50,371","4,836",51.52,4.75,"659,012","60,796"
2,"Mining, Quarrying, and Oil and Gas Extraction",70.03,3.12,"21,410",955,73.16,4.02,"494,075","27,130"
3,Utilities,17.56,3.35,"3,232",616,20.21,1.86,"110,931","10,223"
4,Construction,50.89,0.57,"397,358","4,428",51,0.96,"3,828,294","72,143"
5,Manufacturing,66.46,0.46,"228,520","1,581",63.78,0.93,"8,196,742","119,723"
6,Wholesale Trade,60.74,1.07,"353,454","6,208",59.18,2.1,"3,505,153","124,119"
7,Retail Trade,52.49,0.59,"533,895","6,004",47.31,1.62,"7,447,176","255,370"
8,Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),61.34,3.61,"69,057","4,063",57.77,3.19,"2,041,010","112,872"
9,Scheduled Air Transportation,75.55,2.44,"1,808",58,96.05,3.23,"441,868","14,877"
10,Truck Transportation,62.74,2.65,"83,167","3,512",62.93,2.41,"967,237","37,035"
11,Information,57.3,2.54,"100,080","4,433",49,3.45,"1,410,690","99,340"
12,Finance and Insurance,41.33,1.45,"199,265","6,980",30.45,2.03,"1,846,326","123,383"
13,Real Estate and Rental and Leasing ,40.55,1.75,"163,203","7,060",43.61,2.21,"1,010,070","51,197"
14,Professional and Technical Services,52.58,0.87,"627,238","10,405",50.17,1.85,"4,822,797","178,122"
15,Management of Companies and Enterprises,36.27,2.17,"24,283","1,454",41.99,2.63,"1,018,623","63,857"
16,Administrative and Waste Services,56.35,1.45,"299,058","7,675",59.6,2.15,"5,592,904","201,432"
17,Educational Services,62.3,2.62,"76,083","3,204",44.79,2.37,"1,329,901","70,391"
18,Health Care,64.18,0.56,"447,652","3,897",66.41,1.01,"10,797,610","164,356"
19,Social Assistance,38.72,1.74,"82,093","3,679",49.61,1.93,"1,680,118","65,311"
20,"Arts, Entertainment, and Recreation",59.93,2.69,"88,415","3,967",59.13,2.26,"1,443,280","55,175"
21,Accommodation and Food Services,71.21,0.5,"505,162","3,548",74.39,0.72,"10,555,690","101,538"
22,"Other Services, Except Public Administration",58.25,1.17,"343,849","6,921",61.95,1.4,"2,661,326","59,990"
