,Industry,Percentage of establishments ,Standard error of the percentage of establishments ,Number of establishments ,Standard error of the number of establishments ,Percentage of employment In establishments ,Standard error of the percentage of employment In establishments ,Employment in establishments ,Standard error of the employment in establishments 
0,"Total U.S., private sector ",51.25,0.43,"2,184,303","23,343",56.22,0.41,"43,538,873","501,133"
1,"Agriculture, Forestry, Fishing and Hunting",54.18,2.34,"16,080","2,149",65.61,3.76,"329,829","58,805"
2,"Mining, Quarrying, and Oil and Gas Extraction",49.66,5.43,"7,439","1,097",50.2,3.61,"195,605","38,193"
3,Utilities,83.95,1.86,"5,559",614,90.35,1.72,"215,045","10,196"
4,Construction,54.72,0.78,"214,696","4,038",63.17,1.04,"2,688,595","87,661"
5,Manufacturing,51.82,0.66,"99,143","1,548",55.99,1.13,"4,879,276","129,025"
6,Wholesale Trade,54.81,1.63,"143,116","5,628",55.03,1.93,"1,705,740","115,319"
7,Retail Trade,50.03,0.76,"289,379","5,456",59.6,1.59,"5,893,258","253,323"
8,Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),52.68,3.65,"34,059","3,816",56.34,2.25,"1,202,427","83,366"
9,Scheduled Air Transportation,52.41,3.45,721,70,68.22,3.24,"276,312","14,905"
10,Truck Transportation,51.58,3.97,"29,224","3,123",58.02,2.02,"392,402","33,755"
11,Information,42.97,3.7,"32,041","3,727",53.56,2.43,"718,341","85,991"
12,Finance and Insurance,75.93,2.13,"136,574","6,357",81.56,1.65,"2,073,256","110,439"
13,Real Estate and Rental and Leasing ,61.13,2.32,"113,682","6,209",61.68,2.17,"748,960","48,026"
14,Professional and Technical Services,53.08,1.37,"243,284","8,229",54.99,1.73,"2,610,774","151,865"
15,Management of Companies and Enterprises,58.76,3.06,"17,432","1,416",61.39,2.29,"877,206","63,451"
16,Administrative and Waste Services,46.53,1.91,"124,118","6,473",51.24,1.96,"2,992,812","162,512"
17,Educational Services,49.19,2.62,"35,445","2,656",73.71,2.04,"1,679,212","67,204"
18,Health Care,51.86,0.75,"228,150","3,822",58.09,1.25,"6,522,796","175,951"
19,Social Assistance,60.19,8.46,"78,845","12,215",63.37,2.05,"1,401,429","60,104"
20,"Arts, Entertainment, and Recreation",42.47,3.12,"43,904","3,658",51.58,2.95,"1,079,265","65,552"
21,Accommodation and Food Services,31.75,0.62,"156,379","3,272",34.55,0.91,"3,727,303","110,848"
22,"Other Services, Except Public Administration",40.47,1.53,"135,034","5,902",48.85,1.64,"1,329,030","70,218"
