,Industry,Percentage of establishments 2,Standard error of the percentage of establishments 3,Number of establishments 4,Standard error of the number of establishments 5,Percentage of employment In establishments 6,Standard error of the percentage of employment In establishments 7,Employment in establishments 8,Standard error of the employment in establishments 9
0,"Total U.S., private sector 10",6.19,0.13,"523,006","10,901",12.38,0.32,"15,627,488","409,464"
1,"Agriculture, Forestry, Fishing and Hunting",9.17,4.23,"9,596","4,427",12.59,4.31,"161,112","55,120"
2,"Mining, Quarrying, and Oil and Gas Extraction",3.43,1.93,"1,048",589,1.6,1.9,"10,825","12,808"
3,Utilities,1.99,1.65,367,303,1.74,1.2,"9,566","6,574"
4,Construction,6.49,0.26,"50,671","2,063",8.7,0.5,"653,362","37,483"
5,Manufacturing,7.32,0.24,"25,181",808,15.79,0.84,"2,029,174","108,055"
6,Wholesale Trade,4.08,0.37,"23,728","2,151",8.52,1.32,"504,798","78,090"
7,Retail Trade,9.05,0.33,"92,074","3,329",17.93,1.25,"2,823,331","197,084"
8,Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),7.46,1.55,"8,395","1,743",17.29,2.92,"611,004","103,010"
9,Scheduled Air Transportation,0.32,1.99,8,48,0.03,3.22,144,"14,818"
10,Truck Transportation,5.52,0.99,"7,320","1,314",8.88,1.82,"136,412","28,018"
11,Information,4.96,1.53,"8,670","2,681",7.68,2.69,"221,111","77,502"
12,Finance and Insurance,4.1,0.66,"19,764","3,195",5.28,1.3,"320,371","78,946"
13,Real Estate and Rental and Leasing ,2.72,0.57,"10,941","2,307",4.61,1.23,"106,662","28,384"
14,Professional and Technical Services,4.22,0.3,"50,283","3,543",8.06,1.47,"775,032","141,234"
15,Management of Companies and Enterprises,5.38,1.38,"3,601",924,8.19,2.13,"198,674","51,638"
16,Administrative and Waste Services,6.96,0.65,"36,947","3,469",12,1.46,"1,126,445","136,575"
17,Educational Services,4.39,1.4,"5,363","1,712",8.81,1.86,"261,491","55,317"
18,Health Care,9.17,0.33,"63,970","2,326",20.03,0.99,"3,256,847","160,431"
19,Social Assistance,7.09,0.93,"15,026","1,981",14.37,1.3,"486,802","44,124"
20,"Arts, Entertainment, and Recreation",4.55,1.27,"6,718","1,869",4.86,1.65,"118,656","40,314"
21,Accommodation and Food Services,8.8,0.3,"62,449","2,099",11.27,0.59,"1,598,524","84,037"
22,"Other Services, Except Public Administration",3.54,0.38,"20,885","2,255",5.05,0.75,"217,146","32,169"
