,Industries,Percentage of businesses,Standard error of the percentage of  businesses ,Number of  businesses ,Standard error of the number of  businesses ,Percentage of employment In  businesses ,Standard error of the percentage of employment In  businesses ,Employment in  businesses ,Standard error of the employment in  businesses 
0,"Total U.S., private sector 10",13.19,0.23,"1,115,161","19,071",18.9,0.38,"23,867,885","476,617"
1,"Agriculture, Forestry, Fishing and Hunting",9.02,1.86,"9,433","1,950",13.52,3.71,"172,891","47,430"
2,"Mining, Quarrying, and Oil and Gas Extraction",2.01,1.1,613,335,1.93,3.59,"13,045","24,260"
3,Utilities,4.96,1.75,912,321,3.82,1.4,"20,941","7,689"
4,Construction,10.45,0.32,"81,630","2,500",9.71,0.74,"729,160","55,899"
5,Manufacturing,12.42,0.3,"42,710","1,024",22.16,0.87,"2,847,631","112,300"
6,Wholesale Trade,15.44,0.8,"89,859","4,652",24.02,1.76,"1,422,530","104,151"
7,Retail Trade,27.09,0.51,"275,569","5,179",36.58,1.56,"5,758,441","245,579"
8,Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),11.59,1.8,"13,043","2,023",26.62,3.16,"940,283","111,732"
9,Scheduled Air Transportation,4.25,2.12,102,51,0.81,3.22,"3,711","14,822"
10,Truck Transportation,9.22,1.29,"12,224","1,708",17.64,2.09,"271,077","32,148"
11,Information,10.91,1.78,"19,055","3,114",22.41,3.49,"645,121","100,501"
12,Finance and Insurance,11.45,1.06,"55,216","5,123",14.74,1.54,"893,939","93,306"
13,Real Estate and Rental and Leasing ,10.36,1.03,"41,674","4,165",11.22,1.66,"259,887","38,524"
14,Professional and Technical Services,8.67,0.46,"103,401","5,464",10.97,1.59,"1,054,806","152,863"
15,Management of Companies and Enterprises,12.6,1.93,"8,434","1,292",16.79,2.48,"407,274","60,046"
16,Administrative and Waste Services,13.32,0.97,"70,707","5,123",19.2,1.93,"1,801,580","181,576"
17,Educational Services,7.26,1.71,"8,868","2,087",7.21,1.83,"213,973","54,482"
18,Health Care,12.76,0.39,"88,991","2,695",20.85,1,"3,389,604","162,579"
19,Social Assistance,22.6,5.68,"47,917","12,039",23.8,1.72,"805,973","58,144"
20,"Arts, Entertainment, and Recreation",8.93,1.78,"13,175","2,629",8.08,2.02,"197,311","49,235"
21,Accommodation and Food Services,9.93,0.31,"70,470","2,202",10.7,0.54,"1,517,843","77,327"
22,"Other Services, Except Public Administration",10.36,0.71,"61,159","4,184",11.66,1.1,"500,864","47,113"
