,Utilities,Real Estate,Wholesale_Trade,Professional & Technical Services,Manufacturing,Mining & Logging,Waste Services,"Arts, Entertainment, And Recreation",Accommodations & Food Services,Finance & Insurance,Management of Companies & Enterprises,Construction,Healthcare,Transportation,Retail,Information,Other_Services
2017-01-01,39.16,25.93,30.14,40.33,26.53,46.08,20.11,22.23,14.37,32.92,39.16,28.59,26.33,23.61,18.15,38.02,23.71
2017-02-01,38.6,25.78,29.85,39.86,26.41,45.27,20.03,22.11,14.44,32.87,38.77,28.5,26.42,23.49,18.03,37.54,23.65
2017-03-01,39.07,25.81,29.6,39.99,26.41,44.45,20.08,22.12,14.43,32.68,39.1,28.67,26.3,23.54,18.04,37.49,23.78
2017-04-01,39.6,26.15,30.16,40.52,26.74,44.12,20.16,22.12,14.44,33.38,39.71,28.58,26.47,23.79,18.27,38.64,23.89
2017-05-01,39.0,25.88,29.69,40.35,26.49,43.84,19.96,21.69,14.52,32.82,39.01,28.65,26.37,23.67,18.16,38.06,23.7
2017-06-01,38.87,25.71,29.67,40.07,26.42,44.31,19.81,20.18,14.39,32.72,39.13,28.73,26.29,23.81,18.14,38.14,23.6
2017-07-01,39.26,25.99,30.17,40.74,26.71,44.75,20.06,19.89,14.43,33.34,39.5,28.91,26.57,24.0,18.31,38.65,23.72
2017-08-01,38.7,25.71,29.69,40.26,26.43,43.88,19.89,20.15,14.49,33.16,39.21,29.0,26.58,23.82,18.19,38.23,23.71
2017-09-01,39.39,26.0,29.93,40.66,26.66,43.95,20.16,21.91,14.6,33.35,39.44,29.29,26.77,23.87,18.36,38.59,24.03
2017-10-01,39.96,26.42,30.02,41.04,26.79,44.42,20.19,21.81,14.67,33.97,39.94,29.16,26.76,24.0,18.38,38.93,24.15
2017-11-01,39.75,26.15,30.02,40.64,26.68,44.25,20.16,22.21,14.69,33.66,39.8,29.16,26.81,23.87,18.11,38.56,24.1
2017-12-01,39.58,26.28,30.09,40.86,26.85,45.22,20.27,22.43,14.89,33.93,40.14,29.45,26.93,23.91,17.97,38.71,24.2
2018-01-01,39.64,26.45,30.2,40.82,27.0,45.11,20.56,22.55,14.89,34.25,40.44,29.43,27.02,24.12,18.46,39.0,24.31
2018-02-01,39.76,26.53,30.15,40.73,26.85,44.64,20.49,22.29,14.96,34.28,40.22,29.54,27.02,24.1,18.47,39.09,24.28
2018-03-01,40.45,26.61,29.96,40.8,26.9,45.94,20.54,22.28,14.94,34.31,40.41,29.52,27.05,24.18,18.47,39.13,24.59
2018-04-01,40.53,26.91,30.41,41.44,27.14,46.0,20.65,22.48,14.97,34.96,40.83,29.64,27.09,24.41,18.8,40.13,24.7
2018-05-01,40.27,26.76,30.13,41.3,26.94,45.75,20.45,21.66,14.99,34.59,40.63,29.62,27.06,24.2,18.74,39.44,24.52
2018-06-01,40.07,26.54,30.24,41.15,26.88,45.61,20.44,20.43,14.91,34.29,40.32,29.61,27.04,24.22,18.64,39.42,24.35
2018-07-01,40.82,27.12,30.62,41.88,27.06,46.49,20.72,20.27,14.97,34.91,40.83,29.9,27.25,24.4,18.87,39.78,24.41
