,Utilities,Real Estate,Wholesale_Trade,Professional & Technical Services,Manufacturing,Mining & Logging,Waste Services,"Arts, Entertainment, And Recreation",Accommodations & Food Services,Finance & Insurance,Management of Companies & Enterprises,Construction,Healthcare,Transportation,Retail,Information,Other_Services
2017-01-01,554.8,1564.2,5757.6,8965.2,12277.0,148.6,8696.0,2029.0,13094.7,8345.0,2275.5,6459.0,19271.6,5060.0,15854.4,2778.0,5656.0
2017-02-01,552.8,1566.6,5770.5,9035.4,12315.0,146.7,8720.9,2069.3,13213.9,8344.0,2277.4,6527.0,19337.0,5039.9,15627.9,2810.0,5690.0
2017-03-01,554.5,1568.8,5782.7,9022.4,12340.0,143.9,8826.8,2120.3,13403.5,8363.0,2282.2,6634.0,19365.9,5054.4,15635.0,2803.0,5712.0
2017-04-01,554.0,1581.9,5797.3,9072.1,12348.0,143.2,9000.3,2267.0,13620.2,8382.0,2283.8,6820.0,19429.4,5070.1,15686.6,2798.0,5746.0
2017-05-01,553.8,1592.1,5811.4,8972.6,12387.0,143.2,9197.1,2408.6,13876.2,8418.0,2297.3,6998.0,19484.7,5125.9,15759.5,2799.0,5788.0
2017-06-01,558.0,1621.7,5847.7,9036.1,12505.0,144.6,9287.9,2650.6,14107.8,8507.0,2321.5,7169.0,19534.4,5153.2,15843.0,2824.0,5845.0
2017-07-01,559.9,1629.6,5843.8,9076.4,12492.0,144.2,9250.8,2711.1,14175.2,8540.0,2329.9,7212.0,19538.4,5110.8,15841.1,2827.0,5846.0
2017-08-01,557.2,1632.0,5834.6,9076.3,12547.0,143.4,9308.7,2647.9,14159.9,8537.0,2326.6,7248.0,19576.4,5136.2,15810.2,2829.0,5817.0
2017-09-01,554.4,1616.1,5817.1,9015.8,12504.0,143.7,9323.5,2392.2,13834.1,8485.0,2317.2,7201.0,19557.7,5237.6,15679.3,2808.0,5765.0
2017-10-01,554.4,1626.7,5827.9,9102.3,12499.0,142.3,9412.8,2315.9,13781.7,8493.0,2320.4,7208.0,19666.9,5279.1,15819.9,2819.0,5796.0
2017-11-01,554.4,1629.8,5833.2,9149.1,12509.0,142.4,9400.8,2191.3,13683.6,8491.0,2328.5,7147.0,19718.7,5367.8,16285.8,2839.0,5795.0
2017-12-01,556.3,1636.3,5837.8,9169.7,12548.0,140.2,9271.9,2195.4,13663.8,8508.0,2337.3,7004.0,19754.2,5503.1,16305.9,2829.0,5784.0
2018-01-01,552.0,1614.9,5778.6,9149.1,12468.0,140.0,8848.7,2096.2,13340.7,8448.0,2330.2,6729.0,19674.1,5273.4,15718.6,2772.0,5734.0
2018-02-01,553.1,1620.2,5791.3,9232.8,12521.0,139.6,8898.4,2131.4,13456.5,8476.0,2330.9,6840.0,19753.1,5260.4,15577.0,2807.0,5761.0
2018-03-01,554.4,1633.3,5812.3,9235.0,12558.0,142.0,8991.3,2195.9,13622.5,8491.0,2339.7,6933.0,19790.1,5289.6,15610.8,2814.0,5778.0
2018-04-01,556.0,1638.5,5802.0,9276.0,12580.0,141.4,9189.5,2307.5,13810.6,8502.0,2349.4,7129.0,19822.8,5301.5,15668.9,2826.0,5817.0
2018-05-01,554.4,1651.0,5822.7,9195.7,12636.0,142.4,9349.8,2454.2,14069.8,8552.0,2368.9,7336.0,19883.2,5356.2,15772.6,2832.0,5859.0
2018-06-01,557.3,1678.1,5858.5,9262.0,12774.0,145.1,9434.7,2691.8,14316.7,8646.0,2396.6,7497.0,19906.7,5392.0,15807.7,2855.0,5923.0
2018-07-01,555.6,1690.6,5866.8,9306.3,12781.0,145.0,9381.1,2750.3,14356.5,8675.0,2398.2,7554.0,19891.5,5353.6,15804.0,2861.0,5902.0
2018-08-01,553.4,1691.1,5877.8,9308.1,12801.0,145.0,9446.5,2682.7,14342.1,8674.0,2394.8,7586.0,19967.5,5392.7,15772.1,2866.0,5872.0
2018-09-01,549.6,1678.1,5853.3,9241.9,12773.0,141.5,9487.8,2433.7,14028.2,8633.0,2385.5,7535.0,19963.7,5496.1,15606.6,2833.0,5825.0
2018-10-01,551.5,1687.5,5864.2,9350.6,12771.0,141.5,9561.4,2371.7,13931.6,8658.0,2392.3,7557.0,20087.1,5554.9,15708.8,2859.0,5845.0
2018-11-01,551.5,1679.4,5877.1,9402.9,12780.0,142.6,9538.3,2237.1,13831.2,8655.0,2397.0,7454.0,20131.9,5672.3,16191.0,2877.0,5830.0
2018-12-01,552.5,1691.7,5885.6,9419.4,12814.0,141.6,9404.0,2237.2,13848.5,8674.0,2403.6,7311.0,20200.0,5774.3,16197.0,2866.0,5827.0
2019-01-01,549.7,1670.3,5837.2,9384.9,12737.0,141.1,8929.3,2163.1,13575.6,8618.0,2394.9,7069.0,20104.4,5582.6,15628.1,2799.0,5775.0
2019-02-01,547.1,1675.6,5853.6,9470.4,12762.0,142.3,8971.9,2192.7,13648.6,8633.0,2398.9,7062.0,20166.3,5521.1,15429.4,2830.0,5797.0
2019-03-01,549.4,1682.8,5857.1,9479.6,12774.0,142.9,9026.0,2263.8,13825.7,8658.0,2402.8,7170.0,20234.0,5525.3,15425.8,2838.0,5833.0
2019-04-01,546.5,1696.0,5874.6,9520.2,12769.0,143.1,9234.9,2370.9,14037.6,8680.0,2404.1,7378.0,20301.0,5538.3,15468.0,2833.0,5882.0
2019-05-01,548.6,1707.2,5892.9,9439.0,12799.0,143.8,9365.4,2501.0,14292.0,8712.0,2414.4,7541.0,20354.4,5589.8,15528.0,2845.0,5912.0
2019-06-01,554.5,1731.5,5914.5,9514.9,12905.0,145.8,9446.6,2717.5,14509.8,8790.0,2436.3,7700.0,20396.9,5632.8,15603.9,2878.0,5968.0
2019-07-01,555.0,1744.3,5918.0,9582.6,12894.0,145.0,9392.1,2785.8,14513.6,8844.0,2439.5,7754.0,20408.6,5597.8,15608.1,2888.0,5976.0
2019-08-01,551.2,1748.7,5907.3,9576.6,12899.0,146.2,9457.7,2716.2,14541.1,8846.0,2435.3,7761.0,20499.9,5607.0,15564.2,2893.0,5948.0
2019-09-01,546.6,1727.2,5888.1,9506.0,12847.0,144.0,9490.3,2489.5,14285.7,8788.0,2422.0,7703.0,20507.7,5706.3,15449.8,2867.0,5891.0
2019-10-01,546.0,1742.7,5902.9,9610.6,12776.0,143.8,9566.9,2416.9,14248.7,8819.0,2426.8,7721.0,20626.6,5754.8,15603.0,2883.0,5903.0
2019-11-01,547.7,1739.3,5904.6,9667.2,12822.0,142.8,9547.8,2305.2,14154.1,8822.0,2429.5,7610.0,20708.4,5885.0,16028.0,2909.0,5906.0
2019-12-01,550.1,1746.9,5912.2,9676.7,12822.0,142.4,9398.0,2319.9,14153.6,8839.0,2433.3,7450.0,20744.9,6037.4,16102.1,2906.0,5896.0
2020-01-01,546.2,1720.6,5865.3,9639.4,12705.0,137.2,8974.3,2245.9,13871.5,8783.0,2422.2,7243.0,20667.1,5835.1,15508.4,2868.0,5856.0
2020-02-01,545.0,1730.9,5858.7,9739.8,12727.0,135.9,8982.7,2270.4,14021.8,8820.0,2411.2,7278.0,20740.5,5745.9,15353.9,2894.0,5882.0
2020-03-01,546.5,1721.3,5847.9,9694.1,12672.0,134.2,8947.5,2244.7,13500.4,8805.0,2408.0,7297.0,20621.0,5741.7,15286.8,2888.0,5805.0
2020-04-01,541.0,1625.1,5470.0,9198.2,11369.0,132.5,7539.6,1143.0,7505.2,8555.0,2315.6,6452.0,18465.3,5168.3,13131.5,2630.0,4519.0
2020-05-01,540.6,1647.0,5507.6,9142.8,11629.0,132.1,7784.8,1261.9,9041.4,8593.0,2310.2,7070.0,18848.3,5181.9,13600.0,2585.0,4797.0
2020-06-01,541.3,1683.0,5581.0,9258.5,12069.0,133.6,8089.0,1700.3,10936.4,8675.0,2335.4,7359.0,19320.4,5304.4,14503.4,2606.0,5217.0
2020-07-01,542.5,1694.9,5563.3,9314.6,12107.0,135.5,8211.6,1865.6,11498.2,8709.0,2329.9,7424.0,19487.4,5300.6,14748.0,2606.0,5388.0
2020-08-01,541.4,1703.9,5565.2,9341.9,12133.0,135.9,8390.6,1837.9,11606.8,8730.0,2327.0,7460.0,19611.1,5380.1,14965.5,2622.0,5425.0
2020-09-01,539.6,1698.0,5575.7,9306.8,12138.0,137.0,8479.8,1760.1,11686.1,8710.0,2328.6,7419.0,19710.7,5504.6,14891.9,2652.0,5426.0
2020-10-01,539.1,1714.2,5596.4,9449.5,12158.0,138.7,8723.4,1754.6,11852.3,8751.0,2332.3,7506.0,19886.6,5622.5,15131.1,2654.0,5487.0
2020-11-01,540.0,1714.3,5615.0,9475.6,12191.0,139.8,8765.7,1698.8,11719.2,8763.0,2339.1,7413.0,19954.6,5876.7,15487.9,2659.0,5475.0
2020-12-01,540.2,1726.5,5632.3,9554.8,12251.0,141.9,8728.3,1605.6,11289.9,8788.0,2354.6,7312.0,19996.1,5998.4,15628.2,2668.0,5448.0
2021-01-01,538.9,1695.8,5600.8,9553.9,12142.0,130.8,8406.1,1534.4,11041.5,8733.0,2330.8,7067.0,19783.3,5706.7,15111.0,2648.0,5415.0
2021-02-01,537.3,1697.6,5611.1,9656.3,12206.0,130.7,8465.8,1583.8,11480.9,8732.0,2326.4,7008.0,19848.7,5659.0,14995.9,2672.0,5457.0
2021-03-01,539.3,1703.6,5632.9,9682.7,12267.0,133.5,8534.9,1676.5,11771.7,8750.0,2331.5,7203.0,19918.9,5683.6,15041.2,2675.0,5504.0
2021-04-01,538.3,1722.4,5650.0,9758.8,12226.0,134.2,8618.7,1849.4,12170.6,8770.0,2332.5,7365.0,19979.5,5608.9,15047.7,2695.0,5567.0
2021-05-01,538.0,1734.9,5680.5,9699.0,12275.0,135.4,8733.0,2029.0,12596.0,8784.0,2327.3,7476.0,20010.2,5646.3,15164.0,2706.0,5608.0
2021-06-01,540.9,1762.6,5729.3,9772.7,12397.0,137.6,8800.9,2278.0,13118.6,8842.0,2344.6,7598.0,20014.3,5708.0,15339.3,2730.0,5729.0
2021-07-01,542.3,1780.2,5744.9,9881.8,12460.0,139.5,8838.3,2390.8,13472.9,8897.0,2346.6,7640.0,20025.9,5703.0,15347.5,2761.0,5786.0
2021-08-01,537.6,1782.8,5735.7,9911.0,12492.0,140.9,8923.8,2384.8,13441.1,8901.0,2347.3,7644.0,20029.8,5746.8,15309.1,2784.0,5783.0
2021-09-01,534.5,1771.0,5724.8,9885.4,12465.0,141.7,8984.7,2212.3,13184.8,8860.0,2337.2,7626.0,20019.4,5870.1,15279.6,2771.0,5726.0
2021-10-01,535.9,1791.3,5747.2,10036.2,12517.0,143.3,9224.9,2164.2,13270.7,8907.0,2341.8,7666.0,20146.0,5977.9,15500.1,2790.0,5773.0
2021-11-01,536.4,1791.7,5764.3,10101.8,12558.0,141.6,9259.5,2095.9,13236.3,8915.0,2347.1,7605.0,20201.8,6210.8,15831.7,2797.0,5781.0
